window,start_date,end_date,rmse,r2,directional_accuracy
156,2017-05-26,2017-05-26,0.020318141,,0.0
157,2017-06-02,2017-06-02,0.0038601002,,1.0
158,2017-06-09,2017-06-09,0.009452989,,0.0
159,2017-06-16,2017-06-16,0.004037212,,0.0
160,2017-06-23,2017-06-23,0.0059903134,,0.0
161,2017-06-30,2017-06-30,0.009855757,,0.0
162,2017-07-07,2017-07-07,0.0059112264,,0.0
163,2017-07-14,2017-07-14,0.01391031,,1.0
164,2017-07-21,2017-07-21,0.004365388,,1.0
165,2017-07-28,2017-07-28,0.0049125063,,0.0
166,2017-08-04,2017-08-04,0.001810124,,1.0
167,2017-08-11,2017-08-11,0.017660704,,0.0
168,2017-08-18,2017-08-18,0.0012821141,,1.0
169,2017-08-25,2017-08-25,0.011431325,,0.0
170,2017-09-01,2017-09-01,0.026048165,,0.0
171,2017-09-08,2017-09-08,0.01592862,,0.0
172,2017-09-15,2017-09-15,0.015189913,,1.0
173,2017-09-22,2017-09-22,0.006644344,,1.0
174,2017-09-29,2017-09-29,0.0048061004,,1.0
175,2017-10-06,2017-10-06,0.0067055593,,1.0
176,2017-10-13,2017-10-13,0.007888665,,1.0
177,2017-10-20,2017-10-20,0.0065188864,,1.0
178,2017-10-27,2017-10-27,0.005138333,,1.0
179,2017-11-03,2017-11-03,0.0039382027,,1.0
180,2017-11-10,2017-11-10,0.008669472,,0.0
181,2017-11-17,2017-11-17,0.002508635,,0.0
182,2017-11-24,2017-11-24,0.008504965,,0.0
183,2017-12-01,2017-12-01,0.013101592,,1.0
184,2017-12-08,2017-12-08,0.0077423044,,1.0
185,2017-12-15,2017-12-15,0.0014338279,,1.0
186,2017-12-22,2017-12-22,0.008809596,,1.0
187,2017-12-29,2017-12-29,0.011920583,,0.0
188,2018-01-05,2018-01-05,0.02712997,,0.0
189,2018-01-12,2018-01-12,0.0072792377,,1.0
190,2018-01-19,2018-01-19,0.005849501,,1.0
191,2018-01-26,2018-01-26,0.0053904112,,1.0
192,2018-02-02,2018-02-02,0.058326438,,0.0
193,2018-02-09,2018-02-09,0.051512882,,1.0
194,2018-02-16,2018-02-16,0.077483736,,0.0
195,2018-02-23,2018-02-23,0.020436,,0.0
196,2018-03-02,2018-03-02,0.03847498,,0.0
197,2018-03-09,2018-03-09,0.0422644,,0.0
198,2018-03-16,2018-03-16,0.02449482,,0.0
199,2018-03-23,2018-03-23,0.07517435,,0.0
200,2018-03-30,2018-03-30,0.0153180305,,1.0
201,2018-04-06,2018-04-06,0.01847186,,1.0
202,2018-04-13,2018-04-13,0.02850512,,0.0
203,2018-04-20,2018-04-20,0.009148102,,0.0
204,2018-04-27,2018-04-27,0.012925273,,0.0
205,2018-05-04,2018-05-04,0.0019302692,,1.0
206,2018-05-11,2018-05-11,0.027739191,,0.0
207,2018-05-18,2018-05-18,0.01588811,,0.0
208,2018-05-25,2018-05-25,0.0029897627,,1.0
209,2018-06-01,2018-06-01,0.0034427028,,0.0
210,2018-06-08,2018-06-08,0.017856715,,0.0
211,2018-06-15,2018-06-15,0.0022875075,,1.0
212,2018-06-22,2018-06-22,0.017052623,,0.0
213,2018-06-29,2018-06-29,0.009081772,,1.0
214,2018-07-06,2018-07-06,0.027681112,,0.0
215,2018-07-13,2018-07-13,0.011168744,,1.0
216,2018-07-20,2018-07-20,0.020514274,,1.0
217,2018-07-27,2018-07-27,0.00026055193,,1.0
