window,start_date,end_date,rmse,r2,directional_accuracy
161,2017-06-23,2017-06-30,0.001582535,0.8524560928344727,1.0
162,2017-06-30,2017-07-07,0.0025201004,0.45949023962020874,0.5
163,2017-07-07,2017-07-14,0.0116103785,-2.0811767578125,0.0
164,2017-07-14,2017-07-21,0.0033217007,0.40011733770370483,1.0
165,2017-07-21,2017-07-28,0.011350942,-15.675325393676758,0.5
166,2017-07-28,2017-08-04,0.0032993874,-8.973714828491211,0.5
167,2017-08-04,2017-08-11,0.010206174,-0.5582445859909058,0.5
168,2017-08-11,2017-08-18,0.011597102,-7.490358352661133,0.5
169,2017-08-18,2017-08-25,0.016205935,-4.622125625610352,0.5
170,2017-08-25,2017-09-01,0.015506857,-22.26226806640625,0.0
171,2017-09-01,2017-09-08,0.009301145,0.11223852634429932,0.5
172,2017-09-08,2017-09-15,0.014240945,-0.7125701904296875,0.0
173,2017-09-15,2017-09-22,0.0075825993,-0.04365205764770508,1.0
174,2017-09-22,2017-09-29,0.001307667,0.8119497299194336,1.0
175,2017-09-29,2017-10-06,0.0057702945,-4.329434871673584,1.0
176,2017-10-06,2017-10-13,0.0057557835,-0.24411475658416748,1.0
177,2017-10-13,2017-10-20,0.005949632,-1.816514253616333,1.0
178,2017-10-20,2017-10-27,0.0031089557,0.03277301788330078,1.0
179,2017-10-27,2017-11-03,0.0015945509,-83.70050811767578,1.0
180,2017-11-03,2017-11-10,0.007856008,-9.883638381958008,0.5
181,2017-11-10,2017-11-17,0.011789434,-854.3850708007812,0.0
182,2017-11-17,2017-11-24,0.010272214,-2.8761420249938965,0.5
183,2017-11-24,2017-12-01,0.011875038,-14.26109504699707,0.5
184,2017-12-01,2017-12-08,0.008833365,-1.2911181449890137,1.0
185,2017-12-08,2017-12-15,0.006777888,-4.8168182373046875,1.0
186,2017-12-15,2017-12-22,0.0056481394,-2.1983070373535156,1.0
187,2017-12-22,2017-12-29,0.009360956,-7.444001197814941,0.5
188,2017-12-29,2018-01-05,0.020140858,-0.8888106346130371,0.5
189,2018-01-05,2018-01-12,0.009892323,-2.8440065383911133,1.0
190,2018-01-12,2018-01-19,0.011453446,-9.74577522277832,1.0
191,2018-01-19,2018-01-26,0.011979865,-2.186579942703247,1.0
192,2018-01-26,2018-02-02,0.03897167,-0.6151574850082397,0.5
193,2018-02-02,2018-02-09,0.0316866,-20.429058074951172,1.0
194,2018-02-09,2018-02-16,0.058131114,-0.49421167373657227,0.5
195,2018-02-16,2018-02-23,0.04408835,-4.801795482635498,0.0
196,2018-02-23,2018-03-02,0.03732365,-7.169218063354492,0.5
197,2018-03-02,2018-03-09,0.028432034,-0.05284714698791504,0.5
198,2018-03-09,2018-03-16,0.023429018,0.018003523349761963,0.5
199,2018-03-16,2018-03-23,0.04618181,-2.5726613998413086,0.5
200,2018-03-23,2018-03-30,0.045441523,-0.24448072910308838,0.5
201,2018-03-30,2018-04-06,0.02962118,-2.0357003211975098,0.5
202,2018-04-06,2018-04-13,0.013683969,0.3359323740005493,0.5
203,2018-04-13,2018-04-20,0.009810319,-0.8289045095443726,1.0
204,2018-04-20,2018-04-27,0.029298943,-122.0367431640625,0.5
205,2018-04-27,2018-05-04,0.012669416,-115.49827575683594,0.0
206,2018-05-04,2018-05-11,0.015457649,-0.38294076919555664,0.5
207,2018-05-11,2018-05-18,0.020348014,-0.9321655035018921,0.5
208,2018-05-18,2018-05-25,0.006177612,-1.1133642196655273,0.5
